macau,#genre#
Fresno CMAC 1 Public Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Fresno CMAC 2 Education Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-12/live/live.m3u8
Edgesports rest of the world,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
24/7: MACGIVER (2016) TEMP 1,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
California: Fresno-Visalia,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Fresno CMAC 1 Public Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-12/live/live.m3u8
Fresno CMAC 2 Education Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-13/live/live.m3u8
Fresh News TV (720p),https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Fresno CMAC 3 Government Channel (720p),https://reflect-vod-cmac.cablecast.tv/live-13/live/live.m3u8
EPG : Midnight Pulp,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Feel Good TV (720p),https://reflect-vod-cmac.cablecast.tv/live-13/live/live.m3u8
澳門-MACAU,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Canal Macau,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Disney +7,https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Cypress Public Access Channel 36 (Cypress CA) (360p),https://reflect-vod-cmac.cablecast.tv/live-11/live/live.m3u8
Fairfield FairTV Education Channel (Fairfield CT) (1080p),https://reflect-vod-cmac.cablecast.tv/live-12/live/live.m3u8
Fairfield FairTV Government Channel (Fairfield CT) (1080p),https://reflect-vod-cmac.cablecast.tv/live-13/live/live.m3u8
