北京联通,#genre#
都市剧场,http:///udp/239.93.42.30:5140
爱谍战高清,http:///udp/239.93.42.14:5140
爱经典高清,http:///udp/239.93.42.13:5140
爱悬疑高清,http:///udp/239.93.42.12:5140
爱青春高清,http:///udp/239.93.42.16:5140
爱都市高清,http:///udp/239.93.42.15:5140
少儿天地,http:///udp/239.93.42.34:5140
爱幼教高清,http:///udp/239.93.42.17:5140
爱玩具高清,http:///udp/239.93.42.18:5140
爱动漫高清,http:///udp/239.93.42.23:5140
求索频道高清,http:///udp/239.93.42.24:5140
爱电竞高清,http:///udp/239.93.42.19:5140
爱赛车高清,http:///udp/239.93.42.20:5140
爱宠宠物,http:///udp/239.93.42.32:5140
生活时尚,http:///udp/239.93.42.29:5140
环球旅游,http:///udp/239.93.42.31:5140
来钓鱼吧,http:///udp/239.93.42.8:5140
麻辣体育,http:///udp/239.93.42.2:5140
绚影4K,http:///udp/239.93.42.33:5140
先锋乒羽,http:///udp/239.93.42.56:5140
天元围棋,http:///udp/239.93.42.55:5140
快乐垂钓,http:///udp/239.93.1.151:5140
茶频道,http:///udp/239.93.0.114:5140
热血剧场,http:///udp/239.93.1.198:5140
乐龄学堂,http:///udp/239.93.1.179:5140
亲子趣学4K,http:///udp/239.93.1.191:5140
津津悦读4K,http:///udp/239.93.1.197:5140
动画番剧,http:///udp/239.93.1.177:5140
中录动漫4K,http:///udp/239.93.1.188:5140
熊猫24小时,http:///udp/239.93.1.178:5140
综艺咖秀,http:///udp/239.93.1.175:5140
红色经典,http:///udp/239.93.1.176:5140
4K超高清电影,http:///udp/239.93.1.156:5140
4K乐享超清,http:///udp/239.93.0.43:5140
i成都,http:///udp/239.93.1.104:1234
中国体育1,http:///udp/239.93.42.25:5140
中国体育2,http:///udp/239.93.42.26:5140
中国体育3,http:///udp/239.93.42.27:5140
精彩推荐,http:///udp/239.93.1.5:5140
直播室1,http:///udp/239.93.1.180:5140
直播室2,http:///udp/239.93.1.181:5140
直播室3,http:///udp/239.93.1.182:5140
直播室4,http:///udp/239.93.1.183:5140
直播室5,http:///udp/239.93.1.184:5140
直播室6,http:///udp/239.93.1.185:5140
直播室7,http:///udp/239.93.1.186:5140
直播室8,http:///udp/239.93.1.187:5140
红原日干乔,http:///udp/239.93.0.178:5140
红原月亮湾,http:///udp/239.93.0.209:5140
电信导视3,http:///udp/239.93.0.110:5140
雅克音乐节直播,http:///udp/239.93.42.69:5140
雅克音乐节宣传,http:///udp/239.93.42.68:5140
云演艺宣传,http:///udp/239.93.42.60:5140
创新及人才文化节,http:///udp/239.93.42.59:5140
CCTV-1画中画,http:///udp/239.93.0.148:5140
CCTV-2画中画,http:///udp/239.93.0.149:5140
CCTV-3画中画,http:///udp/239.93.0.150:5140
CCTV-4-画中画,http:///udp/239.93.0.212:5140
CCTV-5画中画,http:///udp/239.93.0.158:5140
CCTV-6画中画,http:///udp/239.93.0.64:5140
CCTV-7画中画,http:///udp/239.93.0.79:5140
CCTV-8画中画,http:///udp/239.93.0.154:5140
CCTV-9画中画,http:///udp/239.93.1.64:5140
CCTV-10画中画,http:///udp/239.93.1.63:5140
CCTV-11-画中画,http:///udp/239.93.0.170:5140
CCTV-12画中画,http:///udp/239.93.1.41:5140
CCTV-新闻-画中画,http:///udp/239.93.0.187:5140
CCTV-少儿画中画,http:///udp/239.93.1.40:5140
CCTV-音乐-画中画,http:///udp/239.93.0.171:5140
CCTV-1-单音轨,http:///udp/239.93.1.68:5140
CCTV-1杜比-单音轨,http:///udp/239.93.1.87:5140
CCTV-5＋-单音轨,http:///udp/239.93.1.79:5140
CGTN-画中画,http:///udp/239.93.0.216:5140
CCTV-2-单音轨,http:///udp/239.93.1.69:5140
四川卫视画中画,http:///udp/239.93.0.128:5140
CDTV-1画中画,http:///udp/239.93.1.58:5140
湖南卫视画中画,http:///udp/239.93.1.46:5140
江苏卫视画中画,http:///udp/239.93.1.45:5140
浙江卫视画中画,http:///udp/239.93.1.6:5140
东方卫视画中画,http:///udp/239.93.1.44:5140
北京卫视画中画,http:///udp/239.93.1.66:5140
深圳卫视画中画,http:///udp/239.93.1.21:5140
天津卫视画中画,http:///udp/239.93.1.134:5140
广东卫视画中画,http:///udp/239.93.0.201:5140
山东卫视画中画,http:///udp/239.93.0.229:5140
SCTV-2画中画,http:///udp/239.93.1.62:5140
SCTV-3画中画,http:///udp/239.93.1.211:5140
SCTV-4画中画,http:///udp/239.93.1.139:5140
SCTV-5画中画,http:///udp/239.93.1.254:5140
SCTV-6画中画,http:///udp/239.93.1.140:5140
SCTV-7画中画,http:///udp/239.93.1.145:5140
SCTV-科教画中画,http:///udp/239.93.1.146:5140
SCTV-9画中画,http:///udp/239.93.1.148:5140
峨眉电影-单音轨,http:///udp/239.93.1.95:5140
康巴卫视画中画,http:///udp/239.93.1.149:5140
江西卫视画中画,http:///udp/239.93.1.19:5140
东南卫视画中画,http:///udp/239.93.1.201:5140
黑龙江卫视画中画,http:///udp/239.93.0.231:5140
重庆卫视画中画,http:///udp/239.93.0.119:5140
贵州卫视画中画,http:///udp/239.93.1.200:5140
湖北卫视画中画,http:///udp/239.93.0.115:5140
安徽卫视画中画,http:///udp/239.93.1.166:5140
河北卫视画中画,http:///udp/239.93.1.202:5140
辽宁卫视画中画,http:///udp/239.93.1.167:5140
河南卫视画中画,http:///udp/239.93.1.169:5140
广西卫视画中画,http:///udp/239.93.1.203:5140
云南卫视画中画,http:///udp/239.93.1.168:5140
吉林卫视画中画,http:///udp/239.93.1.204:5140
陕西卫视画中画,http:///udp/239.93.1.205:5140
山西卫视画中画,http:///udp/239.93.1.207:5140
内蒙古卫视画中画,http:///udp/239.93.1.208:5140
青海卫视画中画,http:///udp/239.93.1.209:5140
宁夏卫视画中画,http:///udp/239.93.1.212:5140
西藏卫视画中画,http:///udp/239.93.1.213:5140
新疆卫视画中画,http:///udp/239.93.1.214:5140
甘肃卫视画中画,http:///udp/239.93.1.215:5140
旅游卫视画中画,http:///udp/239.93.1.216:5140
CCTV-7-单音轨,http:///udp/239.93.1.73:5140
CCTV-8-单音轨,http:///udp/239.93.1.74:5140
峨眉电影画中画,http:///udp/239.93.1.161:5140
CDTV-2-画中画,http:///udp/239.93.0.137:5140
CDTV-3-画中画,http:///udp/239.93.0.153:5140
CDTV-4-画中画,http:///udp/239.93.1.118:5140
CDTV-5画中画,http:///udp/239.93.1.57:5140
CDTV-6-画中画,http:///udp/239.93.1.119:5140
CDTV-8-画中画,http:///udp/239.93.1.121:5140
CCTV-3-单音轨,http:///udp/239.93.1.70:5140
CCTV-5-单音轨,http:///udp/239.93.1.71:5140
CCTV-6-单音轨,http:///udp/239.93.1.72:5140
CCTV-9-单音轨,http:///udp/239.93.1.75:5140
熊猫新闻-单音轨,http:///udp/239.93.1.98:5140
城市大明星-单音轨,http:///udp/239.93.1.93:5140
少儿才艺大赛-单音轨,http:///udp/239.93.1.96:5140
熊猫影院画中画,http:///udp/239.93.0.220:5140
四川广场舞大赛-单音轨,http:///udp/239.93.1.97:5140
热门央视,http:///udp/239.93.1.33:5140
热门卫视,http:///udp/239.93.1.34:5140
金熊猫卡通画中画,http:///udp/239.93.0.232:5140
炫动卡通画中画,http:///udp/239.93.0.33:5140
江苏卫视-单音轨,http:///udp/239.93.1.80:5140
收视导视画中画,http:///udp/239.93.1.243:5140
熊猫直播画中画,http:///udp/239.93.0.172:5140
大爱四川画中画,http:///udp/239.93.0.228:5140
浙江卫视-单音轨,http:///udp/239.93.1.81:5140
热门本地,http:///udp/239.93.1.35:5140
喜剧影院画中画,http:///udp/239.93.0.36:5140
星光院线画中画,http:///udp/239.93.0.37:5140
全球大片画中画,http:///udp/239.93.0.35:5140
热门央视-体验,http:///udp/239.93.1.47:5140
热门剧场画中画,http:///udp/239.93.0.39:5140
山东卫视-单音轨,http:///udp/239.93.1.86:5140
黑龙江卫视-单音轨,http:///udp/239.93.1.85:5140
卡酷动画画中画,http:///udp/239.93.1.217:5140
金鹰卡通画中画,http:///udp/239.93.1.218:5140
优漫卡通画中画,http:///udp/239.93.0.32:5140
重庆卫视高清-画中画,http:///udp/239.93.0.233:5140
热门卫视-体验,http:///udp/239.93.1.49:5140
SCTV2-单音轨,http:///udp/239.93.1.99:5140
SCTV3-单音轨,http:///udp/239.93.1.15:5140
热门本地-体验,http:///udp/239.93.1.53:5140
影视文艺-单音轨,http:///udp/239.93.1.89:5140
